,movieId,title,genres,imdbId,tmdbId,budget,tmdb_rating,vote_count,revenue,popularity
0,1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,114709,862.0,30000000.0,8.0,18705.0,394436586.0,18.7304
1,2,Jumanji (1995),Adventure|Children|Fantasy,113497,8844.0,65000000.0,7.235,10697.0,262821940.0,2.729
2,3,Grumpier Old Men (1995),Comedy|Romance,113228,15602.0,25000000.0,6.5,393.0,71500000.0,1.0561
3,4,Waiting to Exhale (1995),Comedy|Drama|Romance,114885,31357.0,16000000.0,6.3,170.0,81452156.0,0.9145
4,5,Father of the Bride Part II (1995),Comedy,113041,11862.0,0.0,6.23,749.0,76594107.0,1.4142
5,6,Heat (1995),Action|Crime|Thriller,113277,949.0,60000000.0,7.919,7508.0,187400000.0,10.3891
6,7,Sabrina (1995),Comedy|Romance,114319,11860.0,58000000.0,6.204,640.0,53672080.0,2.8635
7,8,Tom and Huck (1995),Adventure|Children,112302,45325.0,0.0,5.3,191.0,23920048.0,0.4619
8,9,Sudden Death (1995),Action,114576,9091.0,35000000.0,5.984,739.0,64350171.0,2.2935
9,10,GoldenEye (1995),Action|Adventure|Thriller,113189,710.0,60000000.0,6.9,3974.0,352194034.0,4.4328
10,11,"American President, The (1995)",Comedy|Drama|Romance,112346,9087.0,62000000.0,6.5,732.0,107879496.0,1.9665
11,12,Dracula: Dead and Loving It (1995),Comedy|Horror,112896,12110.0,30000000.0,6.1,997.0,10772144.0,2.0838
12,13,Balto (1995),Adventure|Animation|Children,112453,21032.0,31000000.0,7.3,2056.0,11348324.0,2.7775
13,14,Nixon (1995),Drama,113987,10858.0,44000000.0,6.874,374.0,13681765.0,1.2094
14,15,Cutthroat Island (1995),Action|Adventure|Romance,112760,1408.0,98000000.0,5.8,564.0,16000000.0,1.8091
15,16,Casino (1995),Crime|Drama,112641,524.0,50000000.0,8.0,5989.0,116112375.0,5.8277
16,17,Sense and Sensibility (1995),Drama|Romance,114388,4584.0,16000000.0,7.4,1713.0,134582776.0,3.6566
17,18,Four Rooms (1995),Comedy,113101,5.0,4000000.0,5.859,2682.0,4257354.0,2.7127
18,19,Ace Ventura: When Nature Calls (1995),Comedy,112281,9273.0,30000000.0,6.3,4222.0,212385533.0,4.3432
19,20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,113845,11517.0,68000000.0,5.838,782.0,77224232.0,1.9418
20,21,Get Shorty (1995),Comedy|Crime|Thriller,113161,8012.0,30250000.0,6.488,1084.0,115101622.0,2.0755
21,22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,112722,1710.0,20000000.0,6.505,989.0,32000000.0,2.4748
22,23,Assassins (1995),Action|Crime|Thriller,112401,9691.0,50000000.0,6.5,1579.0,30303072.0,2.1682
23,24,Powder (1995),Drama|Sci-Fi,114168,12665.0,9500000.0,6.996,672.0,30900000.0,3.9031
24,25,Leaving Las Vegas (1995),Drama|Romance,113627,451.0,3600000.0,7.2,1483.0,49800000.0,2.5346
25,26,Othello (1995),Drama,114057,16420.0,11000000.0,6.4,142.0,2800000.0,1.2245
26,27,Now and Then (1995),Children|Drama,114011,9263.0,12000000.0,6.9,438.0,27400000.0,1.4746
27,28,Persuasion (1995),Drama|Romance,114117,17015.0,0.0,7.1,129.0,0.0,1.3087
